epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3204.18,0.12074,0.26789,0.92342,0.94716,0.95645,0.98433,0.98431,0.09702,0.20871,0.24028,0.000307,0.000307,0.000307
44,3276.95,0.13094,0.2886,0.93047,0.97107,0.94699,0.98206,0.98166,0.12758,0.2429,0.25865,0.0002905,0.0002905,0.0002905
45,3349.93,0.1174,0.25017,0.91747,0.94317,0.94267,0.98085,0.98075,0.08552,0.23675,0.22996,0.000274,0.000274,0.000274
46,3422.28,0.12043,0.26263,0.92229,0.9412,0.95113,0.97993,0.97934,0.1035,0.23274,0.24299,0.0002575,0.0002575,0.0002575
47,3494.87,0.11644,0.28325,0.91709,0.95035,0.9609,0.98319,0.98298,0.11561,0.23536,0.27522,0.000241,0.000241,0.000241
48,3568.17,0.11102,0.24183,0.91371,0.97619,0.94226,0.98336,0.98334,0.11,0.18674,0.24076,0.0002245,0.0002245,0.0002245
49,3640.81,0.11171,0.25078,0.91416,0.97191,0.95378,0.98392,0.98382,0.0696,0.18459,0.22387,0.000208,0.000208,0.000208
50,3714.33,0.12051,0.25989,0.92392,0.94744,0.96155,0.98331,0.98326,0.08849,0.22549,0.24171,0.0001915,0.0001915,0.0001915
51,3787.66,0.16885,0.35487,1.0073,0.96487,0.94767,0.98403,0.98401,0.10215,0.2177,0.23809,0.000175,0.000175,0.000175
52,3859.2,0.1379,0.19205,0.96742,0.9631,0.96113,0.98338,0.98333,0.09264,0.2408,0.21802,0.0001585,0.0001585,0.0001585
53,3930.58,0.13776,0.18998,0.97772,0.95364,0.95575,0.98354,0.98344,0.09209,0.20161,0.21524,0.000142,0.000142,0.000142
54,4003.6,0.12521,0.16536,0.95806,0.96065,0.95784,0.98576,0.98575,0.08251,0.18832,0.19538,0.0001255,0.0001255,0.0001255
55,4075.81,0.12313,0.16138,0.95637,0.96486,0.96978,0.98774,0.98772,0.07381,0.19419,0.18935,0.000109,0.000109,0.000109
56,4144.37,0.11959,0.19205,0.95822,0.94969,0.97168,0.98624,0.98616,0.07068,0.20044,0.18407,9.25e-05,9.25e-05,9.25e-05
57,4212.47,0.11494,0.20966,0.94879,0.97468,0.95745,0.98463,0.9845,0.07481,0.17769,0.18046,7.6e-05,7.6e-05,7.6e-05
58,4278.61,0.12054,0.14642,0.95758,0.9762,0.96524,0.98666,0.98664,0.07328,0.18884,0.18114,5.95e-05,5.95e-05,5.95e-05
59,4344.92,0.1187,0.14395,0.95327,0.97013,0.96438,0.98704,0.98704,0.07988,0.19283,0.18745,4.3e-05,4.3e-05,4.3e-05
60,4411.5,0.11864,0.1521,0.9645,0.96128,0.96672,0.98606,0.98606,0.05959,0.17384,0.1706,2.65e-05,2.65e-05,2.65e-05
