epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1995.63,0.10733,0.2363,0.9189,0.98327,0.97962,0.99385,0.99385,0.07938,0.1602,0.19502,0.000307,0.000307,0.000307
44,2044.79,0.10385,0.22457,0.91025,0.98621,0.96008,0.99015,0.99015,0.06467,0.15975,0.15147,0.0002905,0.0002905,0.0002905
45,2092.8,0.10253,0.22161,0.91654,0.98865,0.98635,0.99157,0.99124,0.09166,0.14231,0.17197,0.000274,0.000274,0.000274
46,2139.84,0.10007,0.21733,0.90782,0.99024,0.97949,0.99144,0.99144,0.10131,0.13791,0.18221,0.0002575,0.0002575,0.0002575
47,2186.38,0.09821,0.20891,0.91053,0.96952,0.98547,0.99201,0.99201,0.09317,0.16335,0.19601,0.000241,0.000241,0.000241
48,2233.12,0.10369,0.21612,0.91723,0.98301,0.99155,0.99385,0.99385,0.0804,0.11538,0.14976,0.0002245,0.0002245,0.0002245
49,2281.31,0.09816,0.21739,0.90897,0.98712,0.98371,0.99398,0.99398,0.09259,0.14083,0.16172,0.000208,0.000208,0.000208
50,2329.95,0.09432,0.19859,0.91321,0.97916,0.99217,0.99351,0.99351,0.08964,0.19298,0.17653,0.0001915,0.0001915,0.0001915
51,2379.12,0.15063,0.20213,0.98394,0.96853,0.97555,0.98821,0.98821,0.06871,0.17111,0.16248,0.000175,0.000175,0.000175
52,2423.38,0.12785,0.15107,0.9609,0.98109,0.9809,0.99406,0.99406,0.07095,0.12714,0.16066,0.0001585,0.0001585,0.0001585
53,2468.65,0.11931,0.12375,0.95626,0.98124,0.99287,0.99222,0.99222,0.07706,0.15686,0.17335,0.000142,0.000142,0.000142
54,2511.81,0.11784,0.12287,0.9535,0.98547,0.98746,0.9943,0.9943,0.06758,0.11443,0.16617,0.0001255,0.0001255,0.0001255
55,2557.73,0.11638,0.12529,0.94869,0.98407,0.98963,0.99431,0.99431,0.05357,0.10321,0.13854,0.000109,0.000109,0.000109
56,2603.06,0.10872,0.10817,0.9414,0.9867,0.98599,0.99252,0.99252,0.05795,0.11526,0.13643,9.25e-05,9.25e-05,9.25e-05
57,2647.33,0.10869,0.11187,0.94287,0.98176,0.98463,0.99208,0.99208,0.05169,0.12064,0.13962,7.6e-05,7.6e-05,7.6e-05
58,2692.74,0.10481,0.10824,0.93602,0.9864,0.98613,0.9917,0.9917,0.04995,0.10178,0.12878,5.95e-05,5.95e-05,5.95e-05
59,2735.8,0.096,0.09586,0.92826,0.98655,0.98591,0.99161,0.99161,0.05313,0.10359,0.12289,4.3e-05,4.3e-05,4.3e-05
60,2781.16,0.09854,0.09587,0.93581,0.98333,0.98865,0.99153,0.99153,0.04118,0.09829,0.11358,2.65e-05,2.65e-05,2.65e-05
